area,bathrooms,bedrooms,direction,district,front_street_length,house_type,legal_status,num_of_floor,price,project,title,url
33 m²,2,3,,Quận 10,"3,5 m",Nhà phố,Sổ hồng,2,"3,95 Tỷ VNĐ",,"Chính chủ cần bán gấp nhà Đẹp Nguyễn Tri Phương,",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/chinh-chu-can-ban-gap-nha-dep-nguyen-tri-phuong-q1-7257615
135 m²,24,24,Bắc,Quận 7,"20,0 m",Nhà phố,Sổ hồng,6,15 Tỷ VNĐ,,Nhà 1 trệt 6 lầu đường lý phuc man Phường Bình,http://www.muabannhadat.vn/nha-ban-nha-pho-3535/nha-1-tret-6-lau-duong-ly-phuc-man-phuong-binh-thu-6946935
58 m²,3,4,Tây Nam,Quận 12,"8,0 m",Nhà phố,Sổ hồng,2,"4,55 Tỷ VNĐ",,"Nhà mặt tiền Thạnh Lộc 31, SHR, DT 4x15m, 1 trệt",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/nha-mat-tien-thanh-loc-31-shr-dt-4x15m-1-tret-2-la-7257693
74 m²,5,5,,Quận 7,"15,0 m",Nhà phố,Sổ hồng,4,"12,3 Tỷ VNĐ",,Định cư nước ngoài cần bán gấp nhà 4 lầu mặt tiền,http://www.muabannhadat.vn/nha-ban-nha-pho-3535/dinh-cu-nuoc-ngoai-can-ban-gap-nha-4-lau-mat-tien-7102531
66 m²,2,2,Đông Nam,Quận 12,"5,0 m",Nhà phố,Sổ hồng,3,"1,055 Tỷ VNĐ",,"Dãy nhà 3 lầu siêu vip, đường Hà Huy Giáp, dành",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/day-nha-3-lau-sieu-vip-duong-ha-huy-giap-danh-cho-7257432
45 m²,2,2,,Quận 8,"3,0 m",Nhà phố,Sổ hồng,1,"3,89 Tỷ VNĐ",,"Dọn vào ở luôn Nhà Bùi minh trực  ,P5 , Quận 8,",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/don-vao-o-luon-nha-bui-minh-truc-p5-quan-8-dien-ti-7257715
60 m²,2,2,,Quận Tân Bình,"5,0 m",Nhà phố,Sổ hồng,2,"4,9 Tỷ VNĐ",,"BÁn Gấp nhà HXH Bùi Thế Mỹ, Tân Bình, 5m x 11 nở",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/ban-gap-nha-hxh-bui-the-my-tan-binh-5m-x-11-no-hau-7182982
60 m²,5,4,,Quận 7,"12,0 m",Nhà phố,Sổ hồng,3,"8,5 Tỷ VNĐ",,Cần bán nhanh nhà đẹp mặt tiền đường số chợ Tân,http://www.muabannhadat.vn/nha-ban-nha-pho-3535/can-ban-nhanh-nha-dep-mat-tien-duong-so-cho-tan-my-7100119
100 m²,5,4,,Quận Thủ Đức,"8,0 m",Biệt thự/ Villa,Sổ hồng,3,"4,4 Tỷ VNĐ",,"Cơ hội sở hữu Thủ Đức Village, quy mô 32 căn biệt",http://www.muabannhadat.vn/nha-ban-biet-thu-villa-3525/co-hoi-so-huu-thu-duc-village-quy-mo-32-can-biet-t-7254222
76 m²,2,2,,Huyện Nhà Bè,"76,0 m",Nhà phố,Sổ hồng,1,"2,88 Tỷ VNĐ",,"Bán nhà mặt tiền hẻm 2295 Huỳnh Tấn Phát, Nhà Bè.",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/ban-nha-mat-tien-hem-2295-huynh-tan-phat-nha-be-dt-7101571
80 m²,2,3,Không xác định,Quận 12,"8,0 m",Nhà phố,Sổ hồng,2,900 Triệu VNĐ,,"Nhà mới xây sổ hông riêng, 1 trệt 1 lầu đường",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/nha-moi-xay-so-hong-rieng-1-tret-1-lau-duong-tx52-7257435
50 m²,,3,,Huyện Nhà Bè,"6,0 m",Nhà phố,Sổ hồng,2,"2,39 Tỷ VNĐ",,"Cần tiền bán nhà hẻm xe hơi,  hẻm 2295 Huỳnh Tấn",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/can-tien-ban-nha-hem-xe-hoi-hem-2295-huynh-tan-pha-6878578
68 m²,4,4,Không xác định,Quận Thủ Đức,"8,0 m",Nhà phố,Sổ hồng,3,4 Tỷ VNĐ,,"Chuyển công tác , cần bán gấp nhà 3 tấm , đường",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/chuyen-cong-tac-can-ban-gap-nha-3-tam-duong-ql13-6-7257375
64 m²,2,2,,Quận Tân Phú,"4,0 m",Nhà phố,Sổ hồng,1,"4,5 Tỷ VNĐ",,"Hẻm 482/ Phú Thọ Hòa; 4x14m, 1 Lầu. Giá 4,5 Tỷ",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/hem-482-phu-tho-hoa-4x14m-1-lau-gia-4-5-ty-tl-7035674
460 m²,4,4,,Quận Thủ Đức,,Nhà phố,,,"8,1 Tỷ VNĐ",,Bán nhà phố liền kế khu Compound Phạm Văn Đồng,http://www.muabannhadat.vn/nha-ban-nha-pho-3535/ban-nha-pho-lien-ke-khu-compound-pham-van-dong-thu-6939772
72 m²,3,4,Không xác định,Quận Tân Bình,"3,0 m",Khác,Sổ hồng,2,"5,35 Tỷ VNĐ",,"Bán nhà Lý Thường Kiệt Tân Bình 72m2, giá",http://www.muabannhadat.vn/nha-ban-khac-3592/ban-nha-ly-thuong-kiet-tan-binh-72m2-gia-soc-5-35-7257457
75 m²,,3,,Quận 7,,Nhà phố,Sổ hồng,3,"4,5 Tỷ VNĐ",,"Bán gấp nhà mặt tiền hẻm 198 Nguyễn Thị Thập,",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/ban-gap-nha-mat-tien-hem-198-nguyen-thi-thap-quan-6955216
360 m²,4,4,,Quận Thủ Đức,,Biệt thự/ Villa,,,"8,8 Tỷ VNĐ",,Bán biệt thự phố Little Village Phạm Văn Đồng chỉ,http://www.muabannhadat.vn/nha-ban-biet-thu-villa-3525/ban-biet-thu-pho-little-village-pham-van-dong-chi-7010135
34 m²,1,2,,Quận Tân Bình,"3,0 m",Nhà phố,Sổ hồng,1,"2,8 Tỷ VNĐ",,"Chính chủ bán gấp nhà Bùi thế mỹ , Tân Bình, 34m2",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/chinh-chu-ban-gap-nha-bui-the-my-tan-binh-34m2-gia-7177281
36 m²,2,2,,Quận Bình Tân,"8,0 m",Nhà phố,,1,"2,5 Tỷ VNĐ",,Bán nhà 1/ ấp chiến lược đúc thật 1 Lầu giá 2.5,http://www.muabannhadat.vn/nha-ban-nha-pho-3535/ban-nha-1-ap-chien-luoc-duc-that-1-lau-gia-2-5-ty-7257364
49 m²,4,4,,Quận Tân Bình,,Nhà phố,Sổ hồng,3,"7,3 Tỷ VNĐ",,"Cần bán gấp căn nhà đường Lý Thường Kiệt, phường",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/can-ban-gap-can-nha-duong-ly-thuong-kiet-phuong-8-7080265
50 m²,3,3,Không xác định,Quận Bình Tân,"6,0 m",Nhà phố,Sổ hồng,3,"3,25 Tỷ VNĐ",,"Nhà đúc 2,5 tấm hẻm 2 xẹt Chiến Lược hẻm xe hơi",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/nha-duc-2-5-tam-hem-2-xet-chien-luoc-hem-xe-hoi-7257627
125 m²,9,8,,Quận 7,"10,0 m",Nhà phố,Sổ hồng,7,"14,2 Tỷ VNĐ",,"Bán gấp khách sạn mặt tiền Bùi Văn Ba, Quận 7, DT",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/ban-gap-khach-san-mat-tien-bui-van-ba-quan-7-dt-5x-6879692
26 m²,2,2,,Quận 3,"3,0 m",Nhà phố,Sổ đỏ,3,"4,45 Tỷ VNĐ",,"Nhà đẹp, giá tốt, cần tiền nên bán gấp nhà Trần",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/nha-dep-gia-tot-can-tien-nen-ban-gap-nha-tran-quan-7200032
44 m²,1,2,Tây,Huyện Nhà Bè,,Nhà phố,,,"1,1 Tỷ VNĐ",,"Cần bán căn nhà 4 x 11, 1 trệt 1 lửng, nhà đẹp",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/can-ban-can-nha-4-x-11-1-tret-1-lung-nha-dep-thoan-7211036
300 m²,6,6,,Quận Tân Bình,"7,0 m",Biệt thự/ Villa,Sổ hồng,4,"29,5 Tỷ VNĐ",,"Bán biệt thự hẻm Bình Giã, P13, đất 300 m2, giá",http://www.muabannhadat.vn/nha-ban-biet-thu-villa-3525/ban-biet-thu-hem-binh-gia-p13-dat-300-m2-gia-29-5-7173139
84 m²,2,2,Không xác định,Quận Bình Tân,"12,0 m",Nhà phố,Sổ hồng,1,8 Tỷ VNĐ,,Nhà mặt tiền 12m Trương Phước Phan đối diện,http://www.muabannhadat.vn/nha-ban-nha-pho-3535/nha-mat-tien-12m-truong-phuoc-phan-doi-dien-truong-7257374
53 m²,2,3,Tây Nam,Quận 12,"5,0 m",Nhà phố,Sổ hồng,2,"2,58 Tỷ VNĐ",,Cần bán căn nhà 2 mặt tiền hẻm đường TL31 phường,http://www.muabannhadat.vn/nha-ban-nha-pho-3535/can-ban-can-nha-2-mat-tien-hem-duong-tl31-phuong-t-7151015
44 m²,2,3,,Quận Bình Tân,"7,0 m",Nhà phố,,1,"3,15 Tỷ VNĐ",,"Bán nhà Lầu đẹp mới 100%, 1/ Đường số 14 – Lê Văn",http://www.muabannhadat.vn/nha-ban-nha-pho-3535/ban-nha-lau-dep-moi-100-1-duong-so-14-le-van-quoi-7177821
