area,bathrooms,bedrooms,direction,district,front_street_length,house_type,legal_status,num_of_floor,price,project,title,url
65 m²,2,2,,Quận 12,"10,0 m",Chung cư,Sổ hồng,4,Giá bảo mật,,"Bán chung cư cao cấp giá rẻ quận 12 ,kết cấu xây",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-chung-cu-cao-cap-gia-re-quan-12-ket-cau-xay-du-7249911
75 m²,2,3,Không xác định,Quận 2,,Chung cư,Có giấy phép xây dựng,27,Giá bảo mật,,"Homyland Riverside – Đẳng Cấp Tương Lai, Chuẩn",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/homyland-riverside-dang-cap-tuong-lai-chuan-rieng-7221364
52 m²,1,2,Đông Nam,Quận 8,"30,0 m",Chung cư,Sổ hồng,15,1 Tỷ VNĐ,,Chỉ 200tr Sở Hữu Ngay Căn Hộ Chuẩn Xanh Liền Kề,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/chi-200tr-so-huu-ngay-can-ho-chuan-xanh-lien-ke-q1-6526858
65 m²,2,2,Không xác định,Quận 12,"30,0 m",Chung cư,,20,"1,5 Tỷ VNĐ",,Prosper Plaza Dự Án Tốt Nhất Năm 2018 Tại Quận 12,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/prosper-plaza-du-an-tot-nhat-nam-2018-tai-quan-12-7224575
65 m²,2,2,,Quận 12,"12,0 m",Chung cư,Sổ hồng,,"1,5 Tỷ VNĐ",,"Căn Hộ Cao Cấp Chỉ 1,5 tỷ/ 65m2, 2PN Ngay Cầu",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-cao-cap-chi-1-5-ty-65m2-2pn-ngay-cau-tham-l-7217813
92 m²,2,2,,Quận 2,,Chung cư,,,"2,7 Tỷ VNĐ",,Bán gấp căn hộ Homyland tâng 5 view quận 1. giá,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-gap-can-ho-homyland-tang-5-view-quan-1-gia-yeu-7281032
92 m²,0,2,,Quận 2,,Chung cư,Sổ hồng,,"2,7 Tỷ VNĐ",,"Bán gấp căn hộ HomyLand 1,  2PN,",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-gap-can-ho-homyland-1-2pn-shr-7263831
65 m²,2,2,,Quận 12,"10,0 m",Chung cư,Sổ hồng,,"1,5 Tỷ VNĐ",,"Căn hộ cao cấp ngay KCN Tân Bình, Trường Chinh",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-cao-cap-ngay-kcn-tan-binh-truong-chinh-giao-7222363
79 m²,2,2,Đông Nam,Quận 2,"25,0 m",Chung cư,Sổ hồng,34,"1,95 Tỷ VNĐ",,"Căn hộ  nghỉ dưởng cao cấp, 2 phòng ngủ, 2 toilet",http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-nghi-duong-cao-cap-2-phong-ngu-2-toilet-son-7115221
50 m²,1,1,Đông,Quận 2,"40,0 m",Chung cư,Có giấy phép xây dựng,30,"1,9 Tỷ VNĐ",,Mua Căn Hộ Quận 2 Đẳng Cấp Như Vinhome Giá Chỉ 1.,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/mua-can-ho-quan-2-dang-cap-nhu-vinhome-gia-chi-1-9-7267912
